dish_name,count,label,
素炒三丝,1,C,
清炒菠菜,1,C,
番茄炖豆腐,1,C,
蘑菇炖鸡,1,C,
炒米粉,1,C,
鸡胸肉蔬菜沙拉,1,W,
蒸豆腐,1,C,
炒蔬菜,1,C,
土豆泥搭配烤鸡腿肉,1,W,
海带豆腐汤,1,C,
甜菜根沙拉,1,W,
鲑鱼蒸菜,1,G,
番茄炖扁豆,1,W,
三色藜麦沙拉,1,W,
照烧鳕鱼,1,G,
香菇青菜炒米粉,1,C,
土豆西兰花汤,1,W,
红豆燕麦粥,1,G,
烤三文鱼配绿叶蔬菜,1,W,
羽衣甘蓝沙拉,1,W,
苦瓜炒牛肉,1,C,
蒸三文鱼佐柠檬汁,1,G,
秋葵配咖喱鸡块,1,O,
五彩蔬菜天妇罗,1,O,
绿色沙拉配烤羊肉,1,G,
牛蒡和胡萝卜的日式拌饭,1,O,
鹰嘴豆沙拉,1,W,
番茄海鲜烩饭,1,W,
蒸三文鱼配西兰花,1,G,
烤地中海蔬菜沙拉,1,W,
土豆蔬菜煲,1,C,
豆腐炒青菜,1,C,
土豆碎豆沙,1,G,
烤虾与芦笋,1,W,
鲈鱼蒸丝瓜,1,C,
土豆烤鳕鱼,1,W,
凉拌藕片,1,C,
椒麻鸡片,1,C,
素炒饭,1,C,
蒸鱼配生姜和葱,1,C,
烤鸡胸肉配混合蔬菜,1,W,
凉拌黑豆凉粉,1,C,
素炒三丁（胡萝卜丁、豆腐丁、青椒丁）,1,C,
芦笋炒虾,1,G,
糙米鸡丝粥,1,C,
蔬菜清汤,1,C,
豆腐拌菠菜,1,C,
炒藜麦,1,G,
番茄炒鸡蛋,1,C,
三文鱼佐芦笋,1,W,
蒸三文鱼搭配姜汁酱,1,G,
凉拌藜麦色拉,1,W,
鳄梨玉米饼,1,W,
水煮蛋配青菜,1,G,
豆腐烧菜,1,C,
烤鸡和甜椒,1,W,
蒸青菜,1,C,
凉拌海带,1,C,
番茄炖牛肉,1,C,
土豆泥伴烤鳕鱼,1,W,
素食豆腐汤,1,C,
炒鳄梨与虾仁,1,G,
凉拌西兰花,1,C,
烤鸡胸肉配迷迭香和柠檬,1,W,
凉拌绿色蔬菜沙拉,1,W,
藜麦与野菌炒菜,1,G,
豆腐皮卷,1,C,
全麦面条搭配番茄酱和新鲜蔬菜,1,W,
烤地瓜,1,G,
水果炒冰,1,G,
土豆烧鸡块,1,C,
麻婆豆腐,1,C,
菠菜汤,1,C,
清炒西兰花,1,C,
五彩沙拉,1,G,
豆腐皮包素菜,1,C,
藕片炒肉,1,C,
蒸三文鱼配绿叶蔬菜,1,G,
鸡胸肉凯撒沙拉,1,W,
番茄扁豆汤,1,W,
凉拌鹰嘴豆沙拉,1,W,
炒豆腐配青菜,1,C,
南瓜红豆炖饭,1,C,
土耳其肉丸配小米粥,1,O,
蔬菜全麦披萨,1,W,
蒸三文鱼配青豆和西兰花,1,G,
番薯烧牛肉,1,C,
豆腐蔬菜炒,1,C,
烤鳕鱼配柠檬和香草,1,W,
全麦面条配烩蔬菜,1,W,
凉拌黄瓜,1,C,
番茄炖牛腩,1,C,
炒蘑菇菠菜,1,G,
鸡胸肉凉拌沙拉,1,W,
蒜蓉炒西兰花,1,C,
土豆炖鸡块,1,C,
蒸扇贝,1,C,
蒸三文鱼配柠檬和蔬菜,1,G,
鸡肉炒藜麦,1,G,
地中海风格的烤蔬菜沙拉,1,W,
豆腐炒菠菜,1,C,
土耳其式凉拌蔬菜盘,1,O,
蘑菇燉鸡,1,C,
烤甜菜根与羊奶酪沙拉,1,W,
糙米炒青豆与杏仁,1,G,
清蒸扁豆搭配甘蓝和红薯,1,G,
蒸三文鱼配柠檬草和姜,1,G,
凯尔芝麻沙拉,1,W,
鸡肉汤波菜拌饭,1,G,
冷号瓜汤,1,C,
豆腐青豆拌菜,1,C,
土豆炖豆角,1,C,
火鸡肉丸配西兰花,1,G,
希腊酸奶水果碗,1,W,
鸡胸肉炖蔬菜,1,G,
藜麦沙拉,1,W,
水果切盘,1,G,
蔬菜寿司,1,G,
咖喱鸡配椰汁咖喱和各种蔬菜,1,O,
烤三文鱼配蔬菜,1,W,
鸡胸肉凉拌紫甘蓝沙拉,1,G,
蒸豆腐配蘑菇,1,C,
素食印度咖喱,1,O,
希腊式鸡肉烤串,1,W,
泰式青木瓜沙拉,1,O,
蒜蓉西兰花炒虾,1,C,
鲑鱼蒸菠菜,1,G,
鸡肉炖蔬菜,1,G,
番薯烤豆腐,1,G,
芦笋扒鸡胸,1,W,
冬瓜草菇汤,1,C,
番茄烤鱼,1,G,
豆腐素炒,1,C,
酸辣螺蛳粉,1,C,
西蓝花炒虾,1,C,
蒸南瓜,1,C,
香菇炖鸡,1,C,
芹菜炒核桃,1,C,
蒸三文鱼配蔬菜,1,G,
土豆烩豌豆与菠菜,1,W,
牛肉丝炒西兰花,1,C,
酸辣汤,1,C,
土豆泥和烤土豆块,1,W,
番茄鸡蛋花椰菜汤,1,G,
泰式蔬菜汤,1,O,
蔬菜咖喱,1,O,
烤茄子配酸奶酱,1,G,
蒸三文鱼配芦笋,1,G,
鸡胸肉炒蔬菜,1,G,
土豆泥配烤南瓜和菠菜,1,W,
藜麦色拉,1,G,
豆腐炒青菜,1,C,
烤鸡腿配烤地瓜和蔬菜串,1,G,
希腊酸奶配水果与薄荷,1,W,
烤鳕鱼配柠檬和草药,1,W,
素食黑豆汉堡,1,G,
照烧豆皮滑蛋,1,G,
