dish_name,count,label
معكرونة القمح الكامل مع صلصة الطماطم والخضار,1,W
بوريتو الفاصولياء السوداء والأفوكادو,1,O
عصير الخضار والفواكه,1,G
خضار مشوية مع الأعشاب الطبيعية,1,G
سلطة السبانخ مع الأفوكادو والجوز,1,G
سمك السلمون المخبوز مع الخضر,1,G
تاكو الخضار,1,O
فطيرة البطاطا الحلوة,1,G
الكسكسي مع الخضروات واللوز,1,A
شوربة البروكلي والكريمة الخفيفة,1,W
الدجاج المشوي مع الخضروات الموسمية,1,G
سموثي السبانخ والفواكه,1,G
السلمون المشوي,1,G
البقوليات المشكلة مع الرز البني,1,G
ستيك اللحم مع سلطة الأرجولا,1,W
باذنجان محشي بالخضار والكينوا,1,G
سلطة الأفوكادو والجمبري,1,G
سمك مشوي مع الأسباراغوس,1,G
دجاج مشوي مع الخضار الموسمية,1,G
الحمص بالسبانخ والطماطم,1,A
ستيك اللحم مع سلطة جرجير,1,G
أومليت الخضار,1,G
سلطة الأفوكادو مع التونا,1,G
الدجاج المشوي مع البروكلي,1,G
سمك السلمون المشوي مع الأسبراجس,1,G
الفاصوليا السوداء والأرز البني,1,G
بطاطا حلوة مشوية وحمص,1,A
التاكو النباتي,1,O
سلطة السبانخ والجوز,1,G
المأكولات البحرية وخضروات الموسم المطهوة على البخار,1,G
عصير أخضر,1,G
سمك مشوي مع أعشاب,1,G
طبق الفتوش,1,A
طبق المأكولات البحرية مع الخضار على البخار,1,G
تاكو السمك,1,O
حمص بفلفل الرومي المحشي,1,A
باذنجان مشوي مع الطماطم والجبنة الفيتا,1,A
الكاري الخضار مع الحليب جوز الهند,1,O
التوفو المشوي مع الخضروات,1,G
دجاج مشوي بالأعشاب,1,G
سلطة البروكلي والتفاح,1,G
روبيان مشوي مع الثوم والليمون,1,G
سمك السلمون المخبوز مع الأسبراجوس,1,G
كسكس بالخضراوات والمكسرات,1,A
طبق الفول والخضراوات المنوعة,1,G
شوربة الخضار الصافية,1,G
برجر الفاصوليا السوداء,1,G
سلطة الفواكه,1,G
ستير فراي الخضار مع التوفو,1,O
فطائر الشوفان بالموز,1,G
سمك السلمون المشوي,1,G
الكينوا بالخضار,1,A
الحمص بالطحينة,1,O
فاهيتا الدجاج بالخضروات,1,G
بيض مسلوق مع الخضروات البخارية,1,A
كرات الطاقة بالتمر والمكسرات,1,G
السمك المشوي مع الأعشاب,1,G
صدر الدجاج المشوي مع الخضروات,1,G
حساء الخضروات,1,G
التوفو المقلي مع الخضروات,1,G
أومليت البيض مع السبانخ,1,G
سلطة الحمص والطماطم,1,G
بروكلي مطهو على البخار مع الثوم وقليل من زيت الزيتون,1,G
الدجاج المشوي مع الأعشاب والليمون,1,G
مكرونة القمح الكامل مع الصلصة الحمراء والخضار,1,W
الفاصولياء السوداء والرز البني,1,O
ستيك اللحم مع السلطة الخضراء,1,W
عجة البيض بالخضروات,1,G
حلوى الزبادي مع الفواكه,1,G
حساء البروكلي والكرفس,1,G
طبق الفاصولياء السوداء والأرز البني,1,O
تاكو السمك باستخدام خبز الذرة,1,O
صدور الديك الرومي المشوية مع الخضار,1,G
فطيرة السبانخ والفيتا بدون قشرة,1,G
الدجاج المشوي مع الأعشاب الطازجة,1,G
الفاصوليا السوداء والكورن تاكوس,1,O
الفلفل المحشي بالكينوا والخضار,1,G
تتبيلة الدجاج المشوي بالزبادي والتوابل,1,G
البطاطا الحلوة المشوية مع الدجاج,1,G
طاجن الخضروات والتوفو,1,W
كبسة قرنبيط مع البهارات والأعشاب,1,A
فاهيتا الدجاج مع الخضروات الملونة,1,O
سلطة الفواكه مع الزبادي اليوناني,1,G
عصير خضار وفواكه,1,G
البروكلي المطهو على البخار,1,G
الكسكسي بالخضار,1,A
حمص بالطحينة,1,A
راتاتوي,1,W
سلطة السبانخ مع الفواكه,1,G
سمك السلمون المخبوز مع الاسبراجوس,1,G
الخضروات المشوية,1,G
بروكلي مسلوق أو على البخار,1,G
سوتيه الفاصوليا الخضراء والثوم,1,G
ستيك اللحم مع الخضروات,1,G
عصير الخضروات والفواكه,1,G
سمك مشوي مع الخضروات,1,G
الدجاج المشوي مع الفريكة,1,A
أومليت البيض مع الخضروات,1,G
حساء القرع العسلي,1,W
سمك السلمون المشوي مع الخضار,1,G
دجاج مشوي مع الهريسة والقرنبيط,1,G
البيض المسلوق مع الأفوكادو على خبز الحبوب الكاملة,1,G
سلطة الفاصولياء المختلطة,1,G
التوفو المتبل مع الخضار المشوي,1,G
شوربة الدجاج بالخضار,1,G
فلفل محشي بالكينوا والخضار,1,G
أوراك الدجاج المشوي مع البطاطس الحلوة والجزر,1,G
سموثي السبانخ والموز,1,G
طبق الدجاج المشوي مع الخضار,1,G
سلطة التونة,1,G
البطاطا الحلوة المشوية,1,G
سلطة الفاصوليا السوداء مع الذرة,1,G
السلمون المخبوز,1,G
راتاتوي (طبق خضار فرنسي),1,W
بروتين بارز محلي الصنع,1,G
طبق البروكلي والجزر المطهو على البخار,1,G
الحمص بالطحينة (الحمص),1,A
سلطة السبانخ مع البيتز والأفوكادو,1,G
صدر الدجاج المشوي,1,G
بروكلي مطبوخ بالبخار,1,G
كينوا مع الخضار,1,G
سلطة الكينوا مع الفاصوليا السوداء,1,G
شرائح البطاطا الحلوة المخبوزة,1,G
سموذي الفواكه,1,G
