dish_name,count,label
レンティルスープ,1,G
トマトとモッツァレラのカプレーゼサラダ,1,W
チキンと野菜のケバブ,1,O
ポーチドサーモンとアスパラガス,1,G
スピナッチとフェタチーズのオムレット,1,W
ベジタブルカレー,1,O
鶏胸肉の蒸し料理,1,G
豆腐と野菜の味噌炒め,1,J
野菜たっぷりのミネストローネ,1,W
サーモンのグリル,1,J
キノコとほうれん草のガーリックソテー,1,J
雑穀米のサラダ,1,G
レンズ豆のカレー,1,O
カボチャのスープ,1,W
タブーリ（パセリのサラダ）,1,O
海藻サラダ,1,J
蒸し魚,1,J
野菜の炒めもの,1,G
湯豆腐,1,J
雑穀米,1,J
味噌汁,1,J
キノコと鶏肉のグリル,1,J
ビーンズサラダ,1,G
野菜と豆のミネストローネ,1,W
鮭のホイル焼き,1,J
スムージー,1,G
鶏胸肉のグリル野菜添え,1,G
豆腐と野菜の味噌汁,1,J
野菜と海草の和風サラダ,1,J
鮭のホイル焼き,1,J
玄米と野菜のピラフ,1,J
海鮮と野菜のスープ,1,J
キヌアと野菜のサラダ,1,G
蒸し鶏とブロッコリー,1,G
トマトとバジルのスパゲッティ,1,W
豆類のチリコンカン,1,O
鮭のグリル,4,J
豆腐と野菜の炒め物,3,J
キヌアサラダ,3,G
海藻サラダ,3,J
鮭のムニエル,2,W
ほうれん草のおひたし,2,J
雑穀米,2,J
豆と野菜のミネストローネ,2,W
トマトとモッツァレラのカプレーゼサラダ,2,W
豆腐と野菜の味噌汁,1,J
鳥胸肉のグリル,1,G
野菜たっぷりのトマトパスタ,1,W
キノコと鶏肉の炒め物,1,J
キヌアのサラダ,1,G
サーモンとアボカドのポケボウル,1,W
海草サラダ,1,J
蒸し野菜と豆腐のヘルシー鍋,1,J
野菜のミネストローネスープ,1,W
大根と鶏肉の蒸し物,1,J
ほうれん草のオムレツ,1,G
根菜のロースト,1,G
トマトとバジリコのパスタ,1,W
豆腐と野菜のみそ汁,1,J
ブロッコリーのスチーム,1,G
切干大根の煮物,1,J
ササミと野菜のスープ,1,G
鮭のホイル焼き,1,J
ひじきの煮物,1,G
手作りヨーグルトとフルーツのボウル,1,G
野菜たっぷりの豆腐サラダ,1,G
ほうれん草とキノコのスープ,1,G
蒸し鶏と野菜の蒸し物,1,G
キヌアと野菜のピラフ,1,G
カボチャのポタージュ,1,W
焼き野菜のサラダ,1,G
鶏胸肉とブロッコリーの炒め物,1,G
枝豆と雑穀のサラダ,1,J
豆腐サラダ,1,G
焼き魚,1,J
蕎麦,1,J
豆乳スープ,1,J
野菜と豆のチリ,1,O
餃子（野菜たっぷり）,1,J
納豆ご飯,1,J
キノコと野菜の味噌汁,1,J
ほうれん草のサラダ,1,J
野菜スープ,1,G
カボチャの煮物,1,J
茹でたアスパラガス,1,G
納豆,1,J
雑穀サラダ,1,G
カボチャのスープ,1,W
ほうれん草のスムージー,1,G
砂肝と野菜のピリ辛炒め,1,J
タラのポワレ,1,W
納豆巻き,1,J
野菜と豆腐の味噌汁,1,J
魚の蒸し物,1,G
ターキーと野菜のラップ,1,W
茹で野菜のバーニャカウダ,1,J
野菜入りチャパティ,1,O
鶏むね肉のグリル,1,G
野菜たっぷりのミネストローネ,1,W
豆腐と野菜の炒めもの,1,G
サーモンのグリル,1,J
トマトとモッツァレラのカプレーゼ,1,W
胚芽米を使用した野菜寿司,1,J
スイートポテトのベイク,1,G
キノコとほうれん草のオムレツ,1,G
ほうれん草とひよこ豆のカレー,1,O
