Dish Name,Count
طاجن الخضروات والتوفو,1
كبسة قرنبيط مع البهارات والأعشاب,1
فاهيتا الدجاج مع الخضروات الملونة,1
سلطة الفواكه مع الزبادي اليوناني,1
عصير خضار وفواكه,1
البروكلي المطهو على البخار,1
الكسكسي بالخضار,1
حمص بالطحينة,1
راتاتوي,1
سلطة السبانخ مع الفواكه,1
سمك السلمون المخبوز مع الاسبراجوس,1
الخضروات المشوية,1
بروكلي مسلوق أو على البخار,1
سوتيه الفاصوليا الخضراء والثوم,1
ستيك اللحم مع الخضروات,1
عصير الخضروات والفواكه,1
سمك مشوي مع الخضروات,1
الدجاج المشوي مع الفريكة,1
أومليت البيض مع الخضروات,1
حساء القرع العسلي,1
سمك السلمون المشوي مع الخضار,1
دجاج مشوي مع الهريسة والقرنبيط,1
البيض المسلوق مع الأفوكادو على خبز الحبوب الكاملة,1
سلطة الفاصولياء المختلطة,1
التوفو المتبل مع الخضار المشوي,1
شوربة الدجاج بالخضار,1
فلفل محشي بالكينوا والخضار,1
أوراك الدجاج المشوي مع البطاطس الحلوة والجزر,1
سموثي السبانخ والموز,1
طبق الدجاج المشوي مع الخضار,1
سلطة التونة,1
البطاطا الحلوة المشوية,1
سلطة الفاصوليا السوداء مع الذرة,1
السلمون المخبوز,1
راتاتوي (طبق خضار فرنسي),1
بروتين بارز محلي الصنع,1
طبق البروكلي والجزر المطهو على البخار,1
الحمص بالطحينة (الحمص),1
سلطة السبانخ مع البيتز والأفوكادو,1
صدر الدجاج المشوي,1
بروكلي مطبوخ بالبخار,1
كينوا مع الخضار,1
سلطة الكينوا مع الفاصوليا السوداء,1
شرائح البطاطا الحلوة المخبوزة,1
سموذي الفواكه,1
